Time_s,Cadence_spm,GCT_ms,VO_mm
0.0,170,248.0,99.8
1.0,170,253.0,97.7
2.0,170,253.0,97.7
3.0,170,253.0,97.7
4.0,170,253.0,97.7
5.0,170,253.0,97.7
6.0,170,253.0,97.7
7.0,170,253.0,97.7
8.0,172,252.0,98.0
9.0,172,250.0,95.9
10.0,172,250.0,95.9
11.0,172,250.0,95.9
12.0,172,250.0,95.9
13.0,172,247.0,94.1
14.0,172,247.0,94.1
15.0,172,249.0,96.2
16.0,172,249.0,96.2
17.0,172,249.0,96.2
18.0,172,249.0,96.2
19.0,170,249.0,96.2
20.0,170,252.0,98.1
21.0,170,252.0,98.1
22.0,172,252.0,98.1
23.0,172,249.0,96.2
24.0,172,249.0,96.3
25.0,172,249.0,96.3
26.0,170,252.0,98.1
27.0,170,252.0,98.1
28.0,170,251.0,98.5
29.0,172,251.0,98.5
30.0,172,248.0,96.7
31.0,172,248.0,96.7
32.0,172,248.0,96.7
33.0,170,248.0,96.7
34.0,170,250.0,98.9
35.0,170,250.0,98.9
36.0,172,250.0,99.0
37.0,172,248.0,96.8
38.0,170,248.0,96.7
39.0,170,250.0,98.9
40.0,168,250.0,99.0
41.0,168,253.0,101.0
42.0,168,253.0,101.0
43.0,168,253.0,100.9
44.0,168,253.0,100.9
45.0,170,251.0,98.6
46.0,170,251.0,98.6
47.0,170,251.0,98.5
48.0,170,251.0,98.6
49.0,170,250.0,98.9
50.0,172,250.0,98.9
51.0,172,248.0,96.7
52.0,172,249.0,96.3
53.0,172,249.0,96.3
54.0,170,249.0,96.3
55.0,170,251.0,98.5
56.0,170,251.0,98.5
57.0,170,251.0,98.5
58.0,170,251.0,98.5
59.0,170,252.0,98.1
60.0,170,252.0,98.1
61.0,170,252.0,98.0
62.0,170,252.0,98.1
63.0,170,252.0,98.1
64.0,170,251.0,98.5
65.0,170,251.0,98.5
66.0,172,252.0,98.1
67.0,172,250.0,95.9
68.0,172,249.0,96.2
69.0,172,249.0,96.3
70.0,172,249.0,96.3
71.0,172,249.0,96.3
72.0,172,249.0,96.3
73.0,170,248.0,96.7
74.0,170,250.0,99.0
75.0,170,250.0,99.0
76.0,170,250.0,99.0
77.0,170,250.0,99.0
78.0,170,251.0,98.5
79.0,170,251.0,98.5
80.0,170,251.0,98.5
81.0,170,251.0,98.5
82.0,170,251.0,98.5
83.0,170,251.0,98.5
84.0,170,251.0,98.5
85.0,172,252.0,98.1
86.0,172,250.0,95.9
87.0,174,250.0,95.9
88.0,174,247.0,94.1
89.0,174,247.0,94.1
90.0,174,247.0,94.1
91.0,172,247.0,94.1
92.0,172,249.0,96.2
93.0,172,249.0,96.3
94.0,170,251.0,98.6
95.0,170,250.0,99.0
96.0,172,247.0,97.2
97.0,172,244.0,95.4
98.0,174,244.0,95.4
99.0,174,243.0,95.8
100.0,174,241.0,93.8
