Time_s,Cadence_spm,GCT_ms,VO_mm
0.0,170,299.0,64.5
1.0,170,250.0,95.9
2.0,174,247.0,94.1
3.0,174,247.0,94.1
4.0,174,247.0,94.1
5.0,174,247.0,94.1
6.0,174,245.0,95.0
7.0,174,243.0,95.8
8.0,174,240.0,94.1
9.0,176,238.0,92.2
10.0,174,237.0,92.5
11.0,174,238.0,94.9
12.0,174,240.0,97.0
13.0,174,241.0,96.7
14.0,172,241.0,96.6
15.0,172,244.0,98.4
16.0,172,245.0,98.0
17.0,172,246.0,97.6
18.0,172,246.0,97.6
19.0,172,247.0,97.2
20.0,172,248.0,96.7
21.0,172,249.0,96.3
22.0,172,249.0,96.3
23.0,172,250.0,95.9
24.0,172,250.0,95.9
25.0,170,252.0,98.1
26.0,170,251.0,98.5
27.0,170,252.0,98.1
28.0,170,252.0,98.1
29.0,170,253.0,97.7
30.0,172,253.0,97.6
31.0,172,250.0,95.8
32.0,172,249.0,96.2
33.0,172,249.0,96.3
34.0,172,248.0,96.7
35.0,172,249.0,96.3
36.0,172,249.0,96.3
37.0,174,249.0,96.3
38.0,174,245.0,94.9
39.0,174,245.0,95.0
40.0,174,246.0,94.6
41.0,174,247.0,94.2
42.0,174,247.0,94.1
43.0,174,246.0,94.5
44.0,174,246.0,94.6
45.0,174,246.0,94.6
46.0,172,246.0,94.6
47.0,170,248.0,96.7
48.0,170,250.0,99.0
49.0,170,249.0,99.4
50.0,170,249.0,99.4
51.0,172,246.0,97.6
52.0,172,246.0,97.5
53.0,172,247.0,97.2
54.0,172,247.0,97.1
55.0,172,248.0,96.7
56.0,174,246.0,94.6
57.0,174,246.0,94.6
58.0,172,248.0,96.7
59.0,172,248.0,96.7
60.0,172,248.0,96.7
61.0,172,248.0,96.7
62.0,172,248.0,96.7
63.0,172,247.0,97.1
64.0,172,244.0,98.4
65.0,172,242.0,99.2
66.0,172,244.0,98.4
67.0,172,245.0,98.0
68.0,172,246.0,97.6
69.0,172,246.0,97.6
70.0,172,246.0,97.6
71.0,172,246.0,97.6
72.0,174,243.0,95.8
73.0,174,244.0,95.4
74.0,174,245.0,95.0
75.0,174,245.0,95.0
76.0,174,245.0,95.0
77.0,174,245.0,95.0
78.0,174,244.0,95.4
79.0,174,244.0,95.4
80.0,174,243.0,95.8
81.0,170,245.0,98.0
82.0,170,247.0,100.3
83.0,170,248.0,99.9
84.0,170,248.0,99.9
85.0,170,248.0,99.9
86.0,172,245.0,98.0
87.0,172,245.0,98.0
88.0,172,245.0,98.0
89.0,172,246.0,97.6
90.0,172,246.0,97.5
91.0,172,247.0,97.2
92.0,172,247.0,97.2
93.0,172,247.0,97.2
94.0,172,247.0,97.2
95.0,172,247.0,97.2
96.0,172,247.0,97.2
97.0,170,249.0,99.4
98.0,170,249.0,99.4
99.0,170,249.0,99.4
100.0,172,249.0,99.4
101.0,172,246.0,97.5
102.0,172,246.0,97.6
103.0,172,246.0,97.6
104.0,172,246.0,97.6
105.0,170,248.0,99.8
106.0,170,247.0,100.3
107.0,172,244.0,98.4
108.0,172,244.0,98.4
109.0,172,244.0,98.4
110.0,170,244.0,98.4
111.0,170,247.0,100.3
112.0,170,248.0,99.9
113.0,170,248.0,99.9
114.0,172,246.0,97.6
115.0,172,246.0,97.6
116.0,172,246.0,97.6
117.0,172,245.0,98.0
118.0,172,245.0,98.0
119.0,172,245.0,98.0
120.0,172,245.0,98.0
121.0,172,245.0,98.0
122.0,172,245.0,98.0
123.0,172,244.0,98.4
124.0,172,238.0,100.8
125.0,172,232.0,102.9
126.0,172,236.0,101.5
127.0,172,238.0,100.8
128.0,172,240.0,100.0
129.0,172,241.0,99.6
130.0,174,238.0,97.8
131.0,174,239.0,97.4
132.0,174,239.0,97.4
133.0,174,240.0,97.0
134.0,174,240.0,97.0
135.0,174,240.0,97.0
136.0,174,240.0,97.0
137.0,174,241.0,96.7
138.0,174,241.0,96.6
139.0,174,241.0,96.6
140.0,172,241.0,96.6
141.0,172,241.0,96.6
142.0,172,243.0,98.8
143.0,172,243.0,98.8
144.0,172,243.0,98.8
145.0,172,244.0,98.4
146.0,172,244.0,98.4
147.0,172,243.0,98.8
148.0,172,243.0,98.8
149.0,172,243.0,98.8
150.0,172,243.0,98.8
151.0,176,241.0,96.6
152.0,176,239.0,94.5
153.0,176,239.0,94.5
154.0,176,237.0,92.5
155.0,176,237.0,92.5
156.0,176,236.0,92.9
157.0,176,237.0,92.5
158.0,176,239.0,94.5
159.0,176,239.0,94.5
160.0,176,239.0,94.5
161.0,174,239.0,94.5
162.0,174,239.0,94.5
163.0,174,239.0,94.5
164.0,174,239.0,94.6
165.0,174,241.0,96.6
166.0,174,241.0,96.6
167.0,174,241.0,96.6
168.0,174,241.0,96.6
169.0,174,241.0,96.6
170.0,174,241.0,96.6
171.0,174,241.0,96.6
172.0,174,241.0,96.6
173.0,174,241.0,96.6
174.0,174,239.0,94.5
175.0,174,239.0,94.5
176.0,174,239.0,94.5
177.0,174,239.0,94.5
178.0,174,239.0,94.5
179.0,174,239.0,94.5
180.0,174,241.0,96.6
181.0,172,241.0,96.6
182.0,174,241.0,96.6
183.0,174,241.0,96.6
184.0,176,230.0,100.7
185.0,176,214.0,102.8
186.0,176,208.0,104.4
187.0,176,217.0,101.9
188.0,174,223.0,100.1
189.0,174,229.0,101.0
190.0,174,231.0,100.3
191.0,172,232.0,100.0
192.0,172,233.0,99.6
193.0,174,234.0,99.3
194.0,174,234.0,99.3
195.0,174,232.0,97.1
196.0,176,233.0,96.8
197.0,176,234.0,96.4
198.0,176,235.0,96.1
199.0,176,236.0,95.7
200.0,174,237.0,95.3
201.0,174,238.0,94.9
202.0,174,240.0,97.0
203.0,174,240.0,97.0
204.0,176,238.0,94.9
205.0,174,238.0,94.9
206.0,174,238.0,94.9
207.0,174,240.0,97.0
208.0,174,240.0,97.0
209.0,174,238.0,94.9
210.0,174,238.0,94.9
211.0,176,238.0,94.9
212.0,174,238.0,94.9
213.0,174,238.0,94.9
214.0,174,238.0,94.9
215.0,174,238.0,94.9
216.0,176,238.0,94.9
217.0,176,238.0,94.9
218.0,176,238.0,94.9
219.0,178,235.0,93.3
220.0,178,235.0,93.3
221.0,176,234.0,93.6
222.0,176,234.0,93.6
223.0,174,237.0,95.3
224.0,174,236.0,95.7
225.0,176,235.0,96.0
226.0,176,234.0,96.4
227.0,176,234.0,96.4
228.0,174,233.0,96.8
229.0,174,232.0,97.1
230.0,174,231.0,97.5
231.0,174,230.0,97.8
232.0,176,230.0,97.8
233.0,176,231.0,97.5
234.0,174,232.0,97.1
235.0,174,232.0,97.1
236.0,174,234.0,99.3
237.0,174,234.0,99.3
238.0,174,235.0,98.9
239.0,174,235.0,98.9
240.0,174,233.0,96.8
241.0,176,233.0,96.8
242.0,174,230.0,97.8
243.0,174,221.0,100.8
244.0,174,217.0,104.7
245.0,174,217.0,104.7
246.0,174,217.0,104.7
247.0,174,220.0,103.8
248.0,176,220.0,101.1
249.0,178,220.0,98.3
250.0,176,222.0,97.7
251.0,176,226.0,96.4
252.0,176,228.0,95.8
253.0,174,229.0,98.2
254.0,174,231.0,100.3
255.0,174,231.0,100.3
256.0,174,233.0,99.6
257.0,174,238.0,97.8
258.0,174,242.0,96.2
259.0,174,243.0,95.8
260.0,172,243.0,95.8
261.0,172,245.0,98.0
262.0,172,244.0,98.4
263.0,172,241.0,99.6
264.0,174,237.0,101.2
265.0,174,228.0,101.3
