Time_s,Cadence_spm,GCT_ms,VO_mm
0.0,172,243.0,95.8
1.0,172,243.0,95.8
2.0,172,243.0,95.8
3.0,172,245.0,98.0
4.0,172,245.0,98.0
5.0,172,245.0,98.0
6.0,172,245.0,98.0
7.0,172,245.0,98.0
8.0,174,243.0,95.8
9.0,172,243.0,95.8
10.0,172,243.0,95.8
11.0,174,243.0,95.8
12.0,174,243.0,95.8
13.0,174,243.0,95.8
14.0,174,243.0,95.8
15.0,174,242.0,96.2
16.0,174,242.0,96.2
17.0,174,242.0,96.2
18.0,172,243.0,95.8
19.0,172,245.0,98.0
20.0,172,245.0,98.0
21.0,172,245.0,98.0
22.0,172,246.0,97.6
23.0,172,246.0,97.6
24.0,172,246.0,97.5
25.0,172,247.0,97.2
26.0,172,247.0,97.1
27.0,172,248.0,96.8
28.0,172,248.0,96.7
29.0,172,248.0,96.7
30.0,172,248.0,96.7
31.0,172,248.0,96.7
32.0,172,248.0,96.7
33.0,172,248.0,96.7
34.0,172,249.0,96.3
35.0,172,249.0,96.3
36.0,174,246.0,94.5
37.0,174,246.0,94.6
38.0,174,246.0,94.6
39.0,174,245.0,95.0
40.0,174,245.0,95.0
41.0,174,245.0,95.0
42.0,174,244.0,95.4
43.0,174,244.0,95.4
44.0,174,244.0,95.4
45.0,174,244.0,95.4
46.0,174,245.0,95.0
47.0,174,245.0,94.9
48.0,174,246.0,94.6
49.0,174,246.0,94.6
50.0,172,246.0,94.6
51.0,172,248.0,96.7
52.0,172,248.0,96.8
53.0,172,247.0,97.1
54.0,172,247.0,97.2
55.0,172,246.0,97.5
56.0,172,246.0,97.6
57.0,172,246.0,97.6
58.0,172,245.0,98.0
59.0,172,245.0,98.0
60.0,172,245.0,98.0
61.0,172,246.0,97.6
62.0,172,245.0,98.0
63.0,172,245.0,98.0
64.0,172,245.0,98.0
65.0,172,245.0,98.0
66.0,172,245.0,98.0
67.0,172,246.0,97.6
68.0,172,247.0,97.1
69.0,172,247.0,97.1
70.0,174,247.0,97.1
71.0,174,245.0,95.0
72.0,174,244.0,95.4
73.0,172,246.0,97.6
74.0,172,246.0,97.6
75.0,172,245.0,98.0
76.0,172,245.0,98.0
77.0,172,245.0,98.0
78.0,170,245.0,98.0
79.0,170,248.0,99.9
80.0,170,248.0,99.9
81.0,170,248.0,99.9
82.0,172,248.0,99.9
83.0,172,245.0,98.0
84.0,172,245.0,98.0
85.0,174,245.0,98.0
86.0,174,243.0,95.8
87.0,174,243.0,95.8
88.0,174,244.0,95.4
89.0,174,244.0,95.4
90.0,174,245.0,95.0
91.0,172,245.0,95.0
92.0,172,248.0,96.8
93.0,172,247.0,97.1
94.0,172,247.0,97.1
95.0,172,247.0,97.2
96.0,172,246.0,97.5
97.0,172,244.0,95.4
98.0,174,244.0,95.4
99.0,174,244.0,95.4
100.0,174,244.0,95.4
101.0,174,243.0,95.8
102.0,174,243.0,95.8
103.0,174,243.0,95.8
104.0,174,243.0,95.8
105.0,174,243.0,95.8
106.0,172,242.0,96.2
107.0,172,245.0,98.0
108.0,174,245.0,98.0
109.0,174,242.0,96.2
110.0,172,242.0,96.2
111.0,172,244.0,98.4
112.0,172,244.0,98.4
113.0,172,244.0,98.4
114.0,172,245.0,98.0
115.0,174,242.0,96.2
116.0,174,243.0,95.8
117.0,174,243.0,95.8
118.0,174,244.0,95.4
119.0,172,244.0,95.4
120.0,172,245.0,95.0
121.0,172,247.0,97.1
122.0,172,247.0,97.2
123.0,172,246.0,97.6
124.0,172,242.0,96.2
125.0,172,241.0,96.6
126.0,172,244.0,98.4
127.0,172,244.0,98.4
128.0,174,242.0,96.3
129.0,174,242.0,96.3
130.0,174,239.0,94.5
131.0,174,239.0,94.5
132.0,174,241.0,96.6
133.0,172,243.0,98.8
134.0,172,243.0,98.8
135.0,172,244.0,98.4
136.0,172,244.0,98.4
137.0,172,244.0,98.4
138.0,172,244.0,98.4
139.0,172,244.0,98.4
140.0,174,244.0,98.4
141.0,174,242.0,96.2
142.0,174,244.0,95.4
143.0,174,246.0,94.6
144.0,174,247.0,94.2
145.0,174,246.0,94.6
146.0,174,245.0,95.0
147.0,174,244.0,95.4
148.0,174,243.0,95.8
149.0,174,243.0,95.8
150.0,174,242.0,96.2
151.0,174,242.0,96.2
152.0,174,242.0,96.3
153.0,174,241.0,96.6
154.0,174,241.0,96.6
155.0,174,241.0,96.6
156.0,174,241.0,96.6
157.0,174,241.0,96.6
158.0,174,242.0,96.3
159.0,172,241.0,96.6
160.0,172,244.0,98.4
161.0,172,244.0,98.4
162.0,172,244.0,98.4
163.0,172,244.0,98.4
164.0,172,244.0,98.4
165.0,172,244.0,98.4
166.0,172,244.0,98.4
167.0,172,244.0,98.4
168.0,174,242.0,96.2
169.0,174,242.0,96.2
170.0,174,242.0,96.2
171.0,174,242.0,96.2
172.0,174,242.0,96.2
173.0,174,242.0,96.3
174.0,174,241.0,96.6
175.0,172,241.0,96.6
176.0,172,240.0,97.0
177.0,172,241.0,99.6
178.0,172,240.0,100.0
179.0,174,241.0,99.6
180.0,174,240.0,97.0
181.0,174,242.0,96.2
182.0,174,242.0,96.3
183.0,174,234.0,99.3
184.0,174,227.0,101.7
185.0,174,222.0,103.3
186.0,172,222.0,103.3
187.0,172,226.0,104.9
188.0,172,229.0,103.9
189.0,174,229.0,101.0
190.0,174,231.0,100.3
191.0,176,232.0,97.1
192.0,176,235.0,96.0
193.0,174,237.0,95.3
194.0,174,237.0,95.3
195.0,174,240.0,97.0
196.0,174,240.0,97.0
197.0,174,238.0,94.9
198.0,174,238.0,94.9
199.0,174,237.0,95.3
200.0,176,236.0,95.7
201.0,174,236.0,95.7
202.0,174,237.0,95.3
203.0,174,237.0,95.3
204.0,174,238.0,94.9
205.0,174,238.0,94.9
206.0,174,238.0,94.9
207.0,174,238.0,94.9
208.0,176,238.0,94.9
