Time_s,Cadence_spm,GCT_ms,VO_mm
0.0,170,255.0,96.7
1.0,168,254.0,97.1
2.0,168,257.0,99.1
3.0,170,257.0,99.1
4.0,170,254.0,97.1
5.0,170,254.0,97.1
6.0,170,254.0,97.1
7.0,170,254.0,97.1
8.0,170,254.0,97.1
9.0,170,254.0,97.1
10.0,170,255.0,96.7
11.0,170,255.0,96.6
12.0,170,255.0,96.6
13.0,172,253.0,94.5
14.0,172,252.0,94.9
15.0,170,252.0,94.9
16.0,170,255.0,96.7
17.0,172,255.0,96.7
18.0,172,252.0,94.9
19.0,172,252.0,94.9
20.0,170,254.0,97.1
21.0,170,254.0,97.1
22.0,170,254.0,97.1
23.0,170,254.0,97.1
24.0,170,254.0,97.1
25.0,170,254.0,97.1
26.0,170,254.0,97.1
27.0,170,254.0,97.1
28.0,170,254.0,97.1
29.0,170,254.0,97.1
30.0,170,254.0,97.1
31.0,170,254.0,97.1
32.0,172,254.0,97.1
33.0,172,250.0,95.8
34.0,172,249.0,96.2
35.0,172,249.0,96.3
36.0,170,251.0,98.5
37.0,170,252.0,98.1
38.0,170,252.0,98.1
39.0,170,252.0,98.1
40.0,170,252.0,98.1
41.0,170,252.0,98.1
42.0,170,253.0,97.7
43.0,172,250.0,95.8
44.0,170,251.0,95.4
45.0,170,253.0,97.6
46.0,170,253.0,97.6
47.0,170,253.0,97.6
48.0,170,253.0,97.6
49.0,170,253.0,97.6
50.0,170,253.0,97.5
51.0,170,253.0,97.5
52.0,170,253.0,97.5
53.0,170,253.0,97.5
54.0,170,254.0,97.2
55.0,170,254.0,97.2
56.0,170,254.0,97.1
57.0,170,254.0,97.1
58.0,170,254.0,97.1
59.0,170,254.0,97.1
60.0,170,254.0,97.1
61.0,170,254.0,97.1
62.0,168,257.0,99.0
63.0,168,257.0,99.0
64.0,168,256.0,99.5
65.0,168,255.0,100.0
66.0,166,254.0,100.4
67.0,168,257.0,102.5
68.0,168,254.0,100.5
69.0,170,251.0,98.6
70.0,170,250.0,99.0
71.0,172,247.0,97.1
72.0,172,247.0,97.1
73.0,170,248.0,96.7
74.0,170,251.0,98.5
75.0,170,251.0,98.6
76.0,168,253.0,100.9
77.0,168,253.0,100.9
78.0,170,253.0,100.9
79.0,170,250.0,98.9
80.0,170,251.0,98.6
81.0,170,251.0,98.6
82.0,170,251.0,98.6
83.0,170,251.0,98.6
